zipcode,lat,long,sqft_living,grade,condition,view,waterfront,yr_built,yr_renovated,bedrooms,bathrooms,recently_renovated,price
98117,47.687,-122.386,1580,8,3,0,0,1939,0,3,1.5,0,430000.0
98117,47.687,-122.386,1580,8,3,0,0,1939,0,3,1.5,0,700000.0
98040,47.5873,-122.249,3300,7,3,0,0,1946,1991,4,2.5,0,905000.0
98032,47.3576,-122.277,1960,7,3,0,0,1967,0,3,1.75,0,247500.0
98023,47.3036,-122.378,1160,7,4,0,0,1975,0,4,1.5,0,199000.0
98038,47.4109,-121.958,1810,7,5,0,0,1980,0,3,1.75,0,314000.0
98045,47.4838,-121.714,2320,9,3,2,0,1992,0,3,2.5,0,437500.0
98102,47.6415,-122.315,2070,9,5,0,0,1910,0,3,2.5,0,850830.0
98117,47.6775,-122.372,1980,7,4,0,0,1929,0,3,2.0,0,555000.0
98077,47.7731,-122.08,2190,8,4,0,0,1983,0,3,2.25,0,699950.0
98004,47.5814,-122.196,2920,8,3,0,0,1950,2010,3,2.5,1,1088000.0
98058,47.4375,-122.184,1210,7,3,0,0,1954,0,3,1.0,0,290000.0
98058,47.4431,-122.133,2340,8,4,0,0,1978,0,3,2.5,0,375000.0
98117,47.6878,-122.38,1670,7,4,0,0,1939,0,3,1.0,0,460000.0
98198,47.3813,-122.322,1240,8,4,0,0,1985,0,2,1.75,0,188500.0
98077,47.7304,-122.082,3140,10,4,0,0,1991,0,4,2.5,0,680000.0
98052,47.6417,-122.109,2030,7,4,0,0,1942,0,5,1.75,0,470000.0
98027,47.5386,-122.053,2310,8,3,0,0,1984,0,4,2.5,0,597750.0
98103,47.6823,-122.349,1260,6,5,0,0,1905,0,3,1.75,0,570000.0
98038,47.3624,-122.031,1540,7,4,0,0,1980,0,3,1.75,0,272500.0
98108,47.5474,-122.295,2080,7,3,2,0,1971,0,3,1.75,0,329950.0
98001,47.3183,-122.253,3230,9,3,3,0,2001,0,4,2.5,0,480000.0
98117,47.6981,-122.368,4380,8,3,0,0,1900,1999,3,3.5,0,740500.0
98103,47.6824,-122.347,1590,8,3,0,0,2010,0,3,3.5,0,518500.0
98178,47.5009,-122.248,880,6,4,0,0,1945,0,2,1.0,0,205425.0
98168,47.4965,-122.303,1570,6,3,0,0,1950,0,4,2.0,0,171800.0
98144,47.587,-122.294,1610,7,4,0,0,1925,0,4,1.0,0,535000.0
98177,47.7728,-122.386,2400,8,3,2,0,1964,0,3,2.5,0,660000.0
98034,47.7288,-122.226,1450,7,3,0,0,1987,0,3,2.0,0,391500.0
98117,47.6999,-122.364,770,6,3,0,0,1953,0,2,1.0,0,395000.0
98118,47.5299,-122.266,2100,7,5,0,0,1924,0,4,1.75,0,445000.0
98052,47.6897,-122.098,2910,9,3,0,0,1990,0,3,2.25,0,770000.0
98004,47.6141,-122.212,2750,8,3,0,0,1914,1992,4,2.75,0,1450000.0
98178,47.5091,-122.244,2100,8,3,2,0,1967,0,3,2.25,0,445000.0
98023,47.3129,-122.39,2160,8,3,0,0,1978,0,4,2.25,0,260000.0
98103,47.6763,-122.352,2320,7,5,0,0,1926,0,5,3.5,0,822500.0
98065,47.5319,-121.85,2070,7,3,0,0,2004,0,4,2.5,0,430000.0
98092,47.2761,-122.152,1060,7,4,0,0,1986,0,3,1.75,0,212000.0
98027,47.5343,-122.054,2010,8,3,0,0,1986,0,4,2.25,0,660500.0
98052,47.697,-122.072,3950,9,3,0,0,1989,0,3,3.5,0,784000.0
98029,47.5517,-121.998,2010,8,3,0,0,2014,0,3,2.5,0,453246.0
98107,47.6734,-122.38,2140,9,3,0,0,2005,0,4,3.5,0,675000.0
98003,47.3257,-122.296,1320,7,4,0,0,1956,0,3,1.75,0,199000.0
98003,47.3309,-122.299,2020,7,3,0,0,1968,0,4,1.75,0,220000.0
98028,47.7689,-122.266,2590,8,4,0,0,1968,0,4,2.25,0,452000.0
98125,47.7135,-122.287,1190,6,3,0,0,1981,0,2,1.0,0,382500.0
98107,47.6722,-122.381,1170,8,3,0,0,2014,0,3,2.25,0,519950.0
98119,47.6338,-122.358,1110,7,3,0,0,1925,0,2,1.0,0,665000.0
98006,47.5707,-122.128,2820,8,4,0,0,1968,0,5,2.5,0,527700.0
98058,47.4563,-122.171,1610,7,4,0,0,1962,0,3,1.0,0,205000.0
98133,47.7144,-122.351,1060,7,4,0,0,1923,0,3,1.0,0,420000.0
98006,47.5495,-122.174,2030,8,4,0,0,1961,0,4,2.25,0,500000.0
98077,47.7421,-122.026,3670,9,4,0,0,1994,0,4,2.5,0,921500.0
98109,47.6354,-122.353,2550,8,3,0,0,1905,0,4,1.0,0,890000.0
98027,47.5262,-121.943,2420,7,3,0,0,2007,0,2,2.5,0,430000.0
98032,47.3887,-122.286,2260,8,4,0,0,1960,0,5,2.0,0,258000.0
98103,47.6873,-122.336,1430,7,3,0,0,1947,0,3,1.0,0,511000.0
98103,47.6838,-122.353,1360,8,3,0,0,1990,0,3,2.0,0,532170.0
98107,47.655,-122.359,1110,7,3,0,0,1947,0,3,1.0,0,560000.0
98003,47.3255,-122.304,1250,7,4,0,0,1954,0,3,1.0,0,282950.0
98006,47.562,-122.162,5180,12,3,3,0,2006,0,4,3.25,0,2250000.0
98115,47.678999999999995,-122.3,700,7,3,0,0,1942,0,1,1.0,0,350000.0
98058,47.4479,-122.176,1180,7,4,0,0,1967,0,3,1.0,0,215000.0
98056,47.525,-122.172,3960,9,3,0,0,1996,0,5,3.5,0,650000.0
98023,47.3135,-122.369,2640,8,3,0,0,1967,0,4,2.75,0,320000.0
98022,47.2086,-121.996,1270,7,3,0,0,1916,2013,3,2.0,1,247000.0
98059,47.4715,-122.118,1760,8,4,0,0,1968,0,4,1.75,0,320000.0
98146,47.4877,-122.335,2060,7,3,0,0,1962,0,5,2.25,0,255000.0
98034,47.7171,-122.193,1780,7,3,0,0,1962,0,3,1.75,0,438000.0
98075,47.6012,-122.023,3400,10,3,0,0,2000,0,3,2.5,0,900000.0
98034,47.7319,-122.224,1910,7,3,0,0,1979,0,3,2.75,0,441000.0
98027,47.4582,-122.023,2020,7,4,0,0,1975,0,3,2.0,0,420000.0
98034,47.7209,-122.168,1580,7,3,0,0,1976,0,3,1.75,0,370000.0
98198,47.408,-122.327,1340,5,5,0,0,1949,0,2,1.75,0,269950.0
98006,47.565,-122.125,2680,9,3,0,0,1999,0,4,2.5,0,807100.0
98034,47.7028,-122.231,2680,8,4,0,0,1979,0,3,2.5,0,653000.0
98133,47.7458,-122.331,1370,7,5,0,0,1964,0,3,2.0,0,371500.0
98166,47.4776,-122.337,1560,7,3,0,0,1954,0,3,1.75,0,284000.0
98023,47.3026,-122.374,2160,7,4,0,0,1978,0,3,1.75,0,272000.0
98133,47.7658,-122.339,1340,7,3,0,0,1955,0,3,1.5,0,313000.0
98033,47.6477,-122.182,3880,10,3,0,0,1984,0,4,2.5,0,917500.0
98006,47.5619,-122.125,2590,8,4,0,0,1980,0,4,2.25,0,673000.0
98122,47.6106,-122.31,1120,8,3,0,0,2008,0,3,2.5,0,425000.0
98144,47.5868,-122.308,1970,7,3,0,0,1986,0,5,2.75,0,399950.0
98122,47.6101,-122.307,1220,6,3,0,0,1901,0,3,1.0,0,385000.0
98022,47.1976,-121.999,1950,7,4,2,0,1975,0,3,1.5,0,269950.0
98177,47.7224,-122.358,1350,7,3,0,0,1949,0,2,1.0,0,330000.0
98030,47.3505,-122.179,1670,7,3,0,0,1988,0,3,2.5,0,260000.0
98126,47.5384,-122.376,2380,7,4,0,0,1925,0,4,3.0,0,470000.0
98034,47.7044,-122.2,2440,7,5,0,0,1961,0,4,3.0,0,589000.0
98038,47.3848,-122.039,1050,7,3,0,0,1996,0,2,1.5,0,163500.0
98052,47.6993,-122.102,3130,9,3,0,0,1993,0,4,2.75,0,835000.0
98033,47.6627,-122.188,4090,10,4,2,0,1986,0,5,3.0,0,1095000.0
98023,47.3099,-122.379,1490,8,4,0,0,1969,0,4,1.75,0,269000.0
98074,47.62,-122.043,1900,8,3,0,0,1987,0,3,2.5,0,560000.0
98103,47.65,-122.34,1330,6,4,0,0,1901,0,4,1.0,0,615000.0
98052,47.6647,-122.153,2230,8,3,0,0,1975,0,3,2.25,0,585188.0
98034,47.726000000000006,-122.191,1650,7,3,0,0,1977,0,3,1.75,0,305000.0
98058,47.4616,-122.184,1190,6,3,0,0,1959,0,3,1.0,0,166950.0
98040,47.5505,-122.219,2140,8,4,0,0,1959,0,3,2.5,0,799000.0
98133,47.7606,-122.336,2180,7,4,0,0,1962,0,3,2.5,0,400000.0
98155,47.7481,-122.3,1060,7,3,0,0,1948,0,3,1.0,0,230000.0
98023,47.2779,-122.347,1690,8,3,0,0,2003,0,3,2.5,0,256883.0
98108,47.5511,-122.312,1970,7,5,0,0,1920,0,4,2.0,0,423000.0
98126,47.5488,-122.372,2150,8,3,0,0,2007,0,3,2.5,0,465000.0
98024,47.5385,-121.911,1910,7,3,0,0,1997,0,3,2.5,0,440000.0
98038,47.4058,-121.994,1350,7,4,0,0,1969,0,3,1.75,0,385000.0
98056,47.5093,-122.184,860,6,4,0,0,1943,0,3,1.0,0,210000.0
98042,47.3777,-122.165,1940,8,3,0,0,1994,0,3,2.5,0,297000.0
98107,47.675,-122.394,1010,7,3,0,0,1952,0,3,1.0,0,470000.0
98023,47.3025,-122.37,1300,7,4,0,0,1976,0,3,1.5,0,226500.0
98059,47.4787,-122.158,910,6,4,0,0,1962,0,3,1.0,0,274250.0
98040,47.5378,-122.219,2480,9,4,0,0,1966,0,4,1.75,0,840000.0
98052,47.7073,-122.114,2440,8,3,0,0,2010,0,3,2.5,0,677900.0
98116,47.5733,-122.381,1010,7,3,0,0,1915,0,3,1.0,0,425000.0
98166,47.4604,-122.339,900,6,3,0,0,1941,0,2,0.75,0,180250.0
98133,47.7067,-122.343,2300,7,3,0,0,1920,1994,6,3.0,0,464000.0
98038,47.354,-122.047,1550,8,3,0,0,1993,0,4,2.25,0,320000.0
98105,47.6647,-122.284,1270,8,3,0,0,2014,0,3,2.25,0,625504.0
98074,47.6143,-122.017,2240,9,3,0,0,1983,0,4,2.5,0,592500.0
98001,47.3185,-122.275,2714,9,3,0,0,2005,0,3,2.5,0,465000.0
98118,47.5458,-122.268,1720,8,3,0,0,1978,0,4,2.75,0,477000.0
98168,47.4889,-122.299,850,6,3,0,0,1923,0,2,1.0,0,280000.0
98040,47.5673,-122.21,3300,9,3,3,0,1957,1991,5,3.0,0,1505000.0
98146,47.5133,-122.379,2250,8,3,0,0,2000,0,3,2.5,0,445838.0
98144,47.5884,-122.291,3900,8,3,3,0,1947,0,2,2.25,0,1072000.0
98177,47.7145,-122.367,1320,8,4,0,0,1947,0,2,1.5,0,467000.0
98075,47.5836,-122.026,2760,10,3,0,0,1999,0,4,2.5,0,686000.0
98198,47.398,-122.299,1750,7,3,0,0,1961,0,3,2.0,0,279950.0
98011,47.7663,-122.215,2330,8,3,0,0,1987,0,4,2.25,0,527000.0
98030,47.3758,-122.217,2220,8,4,0,0,1966,0,3,2.25,0,325000.0
98038,47.3828,-122.023,2020,7,3,0,0,1994,0,3,2.25,0,328000.0
98146,47.5123,-122.373,1250,7,5,0,0,1942,0,3,2.25,0,390000.0
98053,47.7076,-122.013,1510,8,3,0,0,2005,0,2,2.0,0,479950.0
98023,47.2922,-122.371,1720,7,4,0,0,1978,0,4,2.25,0,264950.0
98031,47.4075,-122.214,1430,7,4,0,0,1961,0,3,1.0,0,235000.0
98053,47.6794,-122.034,1480,7,3,0,0,2004,0,3,2.5,0,516500.0
98166,47.4497,-122.375,1450,7,3,4,1,1915,1978,2,1.75,0,655000.0
98059,47.5218,-122.164,2280,7,5,0,0,1960,0,4,2.75,0,500000.0
98023,47.3103,-122.339,2940,8,3,0,0,1978,0,6,2.75,0,315000.0
98024,47.5687,-121.899,1000,6,3,0,0,1961,0,2,1.0,0,213000.0
98108,47.5575,-122.303,2480,7,5,0,0,1947,0,3,1.5,0,475000.0
98033,47.6489,-122.183,3760,10,3,0,0,1983,0,5,4.0,0,1025000.0
98010,47.3459,-121.95,2220,7,5,0,0,1976,0,3,2.0,0,416000.0
98122,47.6136,-122.303,1970,7,3,0,0,1904,2005,4,1.0,1,410000.0
98077,47.7641,-122.023,3830,10,3,0,0,1993,0,3,3.5,0,800000.0
98003,47.3376,-122.324,4410,9,4,2,0,1965,0,6,2.5,0,472000.0
98003,47.3173,-122.319,1430,7,4,0,0,1968,0,3,1.75,0,225000.0
98126,47.5308,-122.376,830,6,3,0,0,1940,0,2,1.0,0,210000.0
98115,47.6727,-122.299,1430,7,2,0,0,1925,0,2,1.0,0,455000.0
98002,47.3221,-122.216,1300,6,4,0,0,1954,0,3,1.0,0,225000.0
98103,47.6779,-122.353,1030,7,4,2,0,1918,0,2,1.0,0,480000.0
98023,47.3076,-122.395,2740,9,3,0,0,1990,0,3,2.5,0,363000.0
98074,47.6338,-122.072,3650,9,3,4,1,2000,0,4,2.5,0,2400000.0
98106,47.5218,-122.357,720,6,3,0,0,1954,0,2,1.5,0,181000.0
98002,47.2785,-122.213,2010,7,4,0,0,1976,0,4,2.0,0,250000.0
98103,47.6846,-122.345,1560,6,4,0,0,1918,0,3,1.75,0,481000.0
98032,47.3656,-122.278,1810,7,4,0,0,1978,0,3,2.0,0,260000.0
98058,47.4369,-122.111,3360,9,3,0,0,2001,0,4,2.5,0,455000.0
98045,47.4616,-121.711,1510,8,3,0,0,1991,0,3,2.25,0,415000.0
98118,47.5405,-122.27,1400,7,3,0,0,1953,0,3,1.0,0,349500.0
98030,47.3507,-122.178,1730,7,3,0,0,1987,0,3,2.5,0,245000.0
98115,47.6979,-122.32,1420,7,5,2,0,1928,0,2,2.0,0,592500.0
98106,47.5278,-122.345,2360,7,4,0,0,1955,0,4,1.75,0,385000.0
98059,47.4756,-122.147,1580,7,4,0,0,1974,0,3,1.75,0,315000.0
98045,47.4437,-121.772,1230,7,3,0,0,1979,0,3,1.0,0,255000.0
98052,47.7048,-122.109,2460,8,3,0,0,2006,0,4,2.5,0,693000.0
98112,47.6362,-122.302,1660,8,3,0,0,1911,0,3,1.0,0,780000.0
98198,47.4207,-122.29,1270,7,4,0,0,1960,0,3,1.75,0,237000.0
98074,47.6154,-122.047,2100,10,3,0,0,1979,0,3,2.25,0,525000.0
98144,47.5964,-122.299,770,5,3,0,0,1930,0,2,1.0,0,425000.0
98070,47.4683,-122.438,760,5,5,4,1,1936,0,1,0.75,0,369900.0
98031,47.4045,-122.171,1700,7,4,0,0,1988,0,4,2.5,0,290000.0
98106,47.5544,-122.358,1120,7,3,0,0,1954,0,3,1.0,0,285000.0
98115,47.6802,-122.29,1070,7,3,0,0,1937,0,2,1.0,0,415000.0
98023,47.2988,-122.371,2070,8,3,0,0,1979,0,3,2.5,0,272500.0
98004,47.6312,-122.223,5050,11,3,2,0,1982,2008,4,3.25,1,2900000.0
98077,47.7285,-122.042,5310,11,4,0,0,1989,0,4,4.75,0,1365000.0
98133,47.7107,-122.352,1040,7,4,0,0,1939,0,2,1.0,0,436000.0
98003,47.3271,-122.323,1700,7,4,0,0,1967,0,3,1.0,0,210000.0
98178,47.5053,-122.255,1300,7,3,0,0,1961,0,3,1.0,0,236000.0
98199,47.6601,-122.4,1080,7,3,0,0,1954,2003,3,1.75,0,331000.0
98031,47.4145,-122.166,2653,8,3,0,0,2006,0,3,2.5,0,365000.0
98058,47.4672,-122.165,2290,8,5,0,0,1960,0,3,2.0,0,450000.0
98028,47.7618,-122.261,3820,9,3,0,0,2014,0,4,2.75,0,770000.0
98038,47.3828,-122.071,2210,8,3,0,0,1997,0,4,2.5,0,455000.0
98118,47.5362,-122.268,2390,6,3,0,0,1908,0,3,1.75,0,405000.0
98031,47.3954,-122.206,2600,7,4,0,0,1969,0,4,1.75,0,304900.0
98178,47.5048,-122.272,860,6,3,0,0,1931,0,2,1.0,0,170000.0
98122,47.6166,-122.287,3830,9,5,1,0,1905,1994,5,3.0,0,2050000.0
98053,47.6811,-122.025,3500,9,3,0,0,2005,0,4,2.5,0,780000.0
98028,47.7486,-122.23,2420,8,4,0,0,1988,0,3,3.0,0,330000.0
98030,47.3846,-122.169,2720,9,3,0,0,1992,0,4,2.5,0,370000.0
98072,47.7564,-122.144,2500,7,3,0,0,1979,0,5,2.25,0,467000.0
98034,47.7198,-122.193,1670,7,3,0,0,1980,0,3,1.75,0,405000.0
98006,47.5461,-122.151,2900,8,3,0,0,1985,0,5,2.25,0,675000.0
98006,47.5712,-122.143,1640,7,4,0,0,1954,0,2,1.0,0,500000.0
98166,47.4281,-122.343,1890,7,4,0,0,1968,0,4,2.5,0,389999.0
98034,47.7128,-122.223,2950,8,4,2,0,1975,0,4,1.75,0,630000.0
98001,47.3341,-122.255,2160,9,3,0,0,1992,0,4,2.5,0,360000.0
98056,47.5399,-122.181,3280,8,3,0,0,1986,0,4,3.0,0,580000.0
98126,47.5717,-122.375,1970,8,5,3,0,1929,0,3,2.0,0,550000.0
98075,47.5951,-122.017,3360,10,3,0,0,1994,0,4,2.5,0,879000.0
98042,47.3536,-122.144,1320,7,3,0,0,1993,0,3,2.0,0,265000.0
98059,47.5084,-122.154,2650,8,3,0,0,1990,0,3,2.5,0,446500.0
98108,47.5586,-122.311,2030,7,3,0,0,1963,0,3,1.5,0,404000.0
98188,47.4427,-122.274,1590,7,3,2,0,1957,0,3,1.75,0,267500.0
98074,47.6053,-122.077,4550,10,3,4,1,2002,0,4,5.0,0,3075000.0
98003,47.3494,-122.301,2440,8,3,0,0,1998,0,3,2.5,0,335000.0
98117,47.6933,-122.393,1940,7,4,0,0,1948,0,3,2.5,0,576000.0
98038,47.3537,-122.0,2040,8,3,0,0,2006,0,3,2.5,0,208633.0
98166,47.476000000000006,-122.337,2200,7,4,0,0,1964,0,3,2.25,0,315000.0
98112,47.6239,-122.298,1920,8,4,0,0,1913,0,3,1.75,0,725000.0
98177,47.7776,-122.384,1800,8,4,0,0,1965,0,4,2.75,0,550000.0
98074,47.6459,-122.058,2180,8,3,0,0,1984,0,4,2.25,0,610750.0
98105,47.6692,-122.297,1010,6,4,0,0,1908,0,2,1.0,0,550700.0
98056,47.5376,-122.18,3320,8,5,0,0,1960,0,4,2.75,0,665000.0
98144,47.601000000000006,-122.294,2370,8,5,2,0,1928,0,4,2.5,0,834000.0
98065,47.529,-121.837,1660,6,3,0,0,1915,0,5,1.75,0,201000.0
98119,47.6345,-122.367,3650,10,5,4,0,1921,0,5,2.5,0,2384000.0
98006,47.5503,-122.102,4290,11,3,3,0,1997,0,4,3.25,0,1384000.0
98006,47.5503,-122.102,4290,11,3,3,0,1997,0,4,3.25,0,1400000.0
98058,47.4441,-122.125,1950,8,3,0,0,1979,0,4,2.25,0,305000.0
98133,47.7357,-122.333,2590,8,5,0,0,1948,0,3,2.0,0,487000.0
98042,47.346,-122.157,1930,8,4,0,0,1988,0,3,2.5,0,390000.0
98103,47.6638,-122.345,1470,7,4,0,0,1916,0,2,1.0,0,548000.0
98166,47.48,-122.336,800,6,3,0,0,1943,0,4,1.0,0,268750.0
98052,47.6759,-122.151,3150,9,3,0,0,2013,0,5,2.75,0,819900.0
98027,47.5162,-122.057,2030,8,3,0,0,1984,0,3,2.25,0,520000.0
98001,47.2639,-122.252,1450,7,3,0,0,2003,0,3,2.0,0,230000.0
98023,47.2929,-122.371,1510,7,3,0,0,1969,0,3,1.75,0,240000.0
98146,47.4957,-122.352,1240,6,3,0,0,1922,1984,2,1.0,0,232000.0
98146,47.4957,-122.352,1240,6,3,0,0,1922,1984,2,1.0,0,240500.0
98077,47.7721,-122.093,3030,9,3,0,0,1987,0,3,2.5,0,274975.0
98102,47.644,-122.319,2050,9,4,0,0,1922,0,4,2.0,0,740000.0
98166,47.472,-122.344,1000,7,2,0,0,1952,0,3,1.0,0,186375.0
98005,47.592,-122.166,2370,9,4,0,0,1977,0,3,2.25,0,790000.0
