bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,lat,long,sqft_living15,sqft_lot15,month_sold,house_age,years_since_reno,recently_renovated,has_basement,sqft_vs_neighbors,dist_to_seattle,top_grade,grade_x_sqft,basement_ratio,zip_median_price
3,1.75,1410,4080,1.0,0,0,4,7,1000,410,47.6808,-122.384,1410,4080,12,65,65,0,1,0,0.0908777750607917,0,9870,0.2907801418439716,544000.0
2,1.75,1980,8550,1.0,0,0,3,7,990,990,47.6989,-122.369,1480,6738,2,34,34,0,1,500,0.09977424517379388,0,13860,0.5,544000.0
5,2.25,2730,6000,1.5,0,0,3,8,2130,600,47.6571,-122.281,2730,6000,3,88,88,0,1,0,0.07212503032927572,0,21840,0.21978021978021978,675000.0
4,2.5,2830,5000,2.0,0,0,3,9,2830,0,47.6597,-122.29,1950,5000,5,20,20,0,0,880,0.0680783372299822,0,25470,0.0,675000.0
4,2.5,2250,4495,2.0,0,0,3,7,2250,0,47.3663,-122.114,2250,4500,8,7,7,0,0,0,0.32422156004805747,0,15750,0.0,291500.0
3,2.5,2420,4750,2.0,0,0,3,8,2420,0,47.3663,-122.122,2690,4750,4,12,12,0,0,-270,0.31889499839288504,0,19360,0.0,291500.0
5,3.25,3250,14342,2.0,0,4,4,8,3250,0,47.588,-122.116,2960,11044,8,47,47,0,0,290,0.21686505020403551,0,26000,0.0,545000.0
4,3.0,1850,9976,2.0,0,0,3,8,1850,0,47.5059,-122.149,2270,8542,2,24,24,0,0,-420,0.20877188508034172,0,14800,0.0,435000.0
3,2.25,2150,21235,1.0,0,3,4,8,1590,560,47.4336,-122.339,2570,18900,12,56,56,0,1,-420,0.17273786498622987,0,17200,0.26046511627906976,390000.0
3,1.75,1260,8400,1.0,0,0,3,7,1260,0,47.4366,-122.335,1290,8750,8,61,61,0,0,-30,0.16962479182006643,0,8820,0.0,278000.0
3,1.75,2519,8690,2.0,0,0,5,8,2519,0,47.4428,-122.344,2500,9500,10,42,42,0,0,19,0.16383275008373896,0,20152,0.0,390000.0
3,1.75,1540,1044,3.0,0,0,3,8,1540,0,47.6765,-122.32,1580,3090,12,1,1,0,0,-40,0.07133372274036687,0,12320,0.0,567000.0
3,2.25,1660,6000,1.0,0,0,3,7,1110,550,47.6113,-122.297,1440,4080,6,36,36,0,1,220,0.03546857764275276,0,11620,0.3313253012048193,572000.0
3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,47.5747,-122.304,1440,4000,11,90,90,0,1,1330,0.0422120835780442,0,19390,0.36101083032490977,450000.0
4,2.5,2720,11049,2.0,0,0,3,10,2720,0,47.5815,-122.192,2750,11049,9,26,26,0,0,-30,0.14226067622502442,1,27200,0.0,1150000.0
4,2.5,2240,4648,2.0,0,0,3,7,2240,0,47.3378,-122.257,2221,4557,10,10,10,0,0,19,0.27870875479611085,0,15680,0.0,260000.0
3,1.0,1000,12070,1.0,0,0,4,7,1000,0,47.3621,-122.11,1010,12635,8,47,47,0,0,-10,0.33002002969516925,0,7000,0.0,291500.0
5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,47.6303,-122.215,3390,20158,6,50,50,0,1,-190,0.11955425546586933,0,25600,0.5,1150000.0
5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,47.6525,-122.16,3530,38917,9,42,42,0,1,1240,0.1782192469965024,1,52470,0.35639412997903563,765475.0
3,2.0,1260,5612,1.0,0,0,4,7,1260,0,47.7362,-122.179,1640,4745,1,43,43,0,0,-380,0.2008472305011878,0,8820,0.0,445950.0
4,2.0,2750,7807,1.5,0,0,5,7,2250,500,47.7168,-122.287,1510,7807,6,99,99,0,1,1240,0.11944191056743331,0,19250,0.18181818181818182,425000.0
4,2.5,2380,5000,2.0,0,0,3,8,2380,0,47.3608,-122.036,2420,5000,7,10,10,0,0,-40,0.3845729709690986,0,19040,0.0,342000.0
3,1.75,1790,50529,1.0,0,0,5,7,1090,700,47.3511,-122.073,1940,50529,3,50,50,0,1,-150,0.36360530799206064,0,12530,0.39106145251396646,291500.0
4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,47.5822,-121.987,3240,35020,11,29,29,0,1,190,0.3459335340784434,1,34300,0.3032069970845481,739999.0
4,1.75,1760,7300,1.0,0,0,3,7,880,880,47.6034,-122.125,1680,7500,10,59,59,0,1,80,0.20711892718918457,0,12320,0.5,545000.0
3,1.0,1040,5060,1.0,0,0,3,7,1040,0,47.5636,-122.394,890,5060,4,74,74,0,0,150,0.07514233161142306,0,7280,0.0,562750.0
3,1.0,1410,5060,1.0,0,0,4,7,910,500,47.7073,-122.34,1130,5693,6,59,59,0,1,280,0.10140818507398282,0,9870,0.3546099290780142,375000.0
4,2.5,3450,39683,2.0,0,0,3,10,3450,0,47.342,-122.025,3350,39750,3,13,13,0,0,100,0.4051074548807957,1,34500,0.0,359999.5
3,2.5,2350,5100,2.0,0,0,3,8,2350,0,47.3512,-122.008,2350,5363,12,12,12,0,0,0,0.4123903611870702,0,18800,0.0,342000.0
4,2.5,1900,5889,2.0,0,0,3,7,1900,0,47.349,-122.031,1870,6405,12,23,23,0,0,30,0.3959962752350039,0,13300,0.0,342000.0
2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,47.5474,-122.291,1720,6720,10,67,67,0,1,300,0.0717401561191483,0,14140,0.5,367500.0
3,1.5,1680,8712,1.0,0,0,3,8,1680,0,47.4811,-122.149,1850,8797,1,51,51,0,0,-170,0.2217557665541065,0,13440,0.0,435000.0
3,1.0,960,6634,1.0,0,0,3,6,960,0,47.7264,-122.31,1570,7203,6,63,63,0,0,-610,0.12221476997482358,0,5760,0.0,425000.0
3,1.5,2140,3600,2.0,0,0,3,9,1900,240,47.6337,-122.365,2020,4800,11,90,90,0,1,120,0.04287959887871691,0,19260,0.11214953271028037,744975.0
5,2.25,2660,8400,1.5,0,0,5,7,2660,0,47.2909,-122.189,1590,8165,11,54,54,0,0,1070,0.3462538086433152,0,18620,0.0,309780.0
3,3.25,2770,6278,2.0,0,0,3,9,1980,790,47.5228,-122.199,1900,7349,6,9,9,0,1,870,0.15707058922662914,0,24930,0.2851985559566787,380000.0
2,2.25,1610,2040,2.0,0,0,4,7,1610,0,47.518,-122.194,1950,2025,5,36,36,0,0,-340,0.16386228974354813,0,11270,0.0,380000.0
2,1.75,1030,1066,2.0,0,0,3,7,765,265,47.5394,-122.387,1030,1106,9,9,9,0,1,0,0.0864653109634174,0,7210,0.25728155339805825,489950.0
4,2.5,1980,7403,2.0,0,0,3,7,1980,0,47.2897,-122.372,1980,7510,5,27,27,0,0,0,0.3190051096769436,0,13860,0.0,268450.0
5,2.75,3520,6353,2.0,0,0,4,10,3520,0,47.6506,-122.391,2520,6250,3,14,14,0,0,1000,0.07376021963091374,1,35200,0.0,689800.0
3,1.0,1200,10500,1.0,0,0,3,7,1200,0,47.322,-122.351,1350,10500,2,53,53,0,0,-150,0.28482775496780366,0,8400,0.0,268450.0
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,47.687,-122.386,1570,4500,7,76,76,0,1,10,0.09712800831891533,0,12640,0.18354430379746836,544000.0
3,1.5,1580,5000,1.0,0,0,3,8,1290,290,47.687,-122.386,1570,4500,12,76,76,0,1,10,0.09712800831891533,0,12640,0.18354430379746836,544000.0
4,2.5,3300,10250,1.0,0,0,3,7,2390,910,47.5873,-122.249,1950,6045,9,69,24,0,1,1350,0.08522218021149405,0,23100,0.27575757575757576,993500.0
3,1.75,1960,15681,1.0,0,0,3,7,1960,0,47.3576,-122.277,1750,15616,3,48,48,0,0,210,0.25463301042873676,0,13720,0.0,249000.0
4,1.5,1160,6400,1.0,0,0,4,7,1160,0,47.3036,-122.378,1160,6400,9,40,40,0,0,0,0.30606138273228656,0,8120,0.0,268450.0
3,1.75,1810,41800,1.0,0,0,5,7,1210,600,47.4109,-121.958,1650,135036,7,35,35,0,1,160,0.4220105448919495,0,12670,0.3314917127071823,342000.0
3,2.5,2320,36847,2.0,0,2,3,9,2320,0,47.4838,-121.714,2550,35065,5,23,23,0,0,-230,0.6301026662378105,0,20880,0.0,399500.0
3,2.5,2070,13241,1.5,0,0,5,9,1270,800,47.6415,-122.315,2200,4500,6,105,105,0,1,-130,0.039223717314909534,0,18630,0.3864734299516908,700000.0
3,2.0,1980,3478,1.5,0,0,4,7,1440,540,47.6775,-122.372,1610,3478,10,86,86,0,1,370,0.08170495700996573,0,13860,0.2727272727272727,544000.0
3,2.25,2190,107593,2.0,0,0,4,8,2190,0,47.7731,-122.08,2570,47777,12,32,32,0,0,-380,0.3023409003095657,0,17520,0.0,652475.0
3,2.5,2920,8113,2.0,0,0,3,8,2920,0,47.5814,-122.196,2370,8113,10,65,5,1,0,550,0.13834106404101307,0,23360,0.0,1150000.0
3,1.0,1210,33919,1.0,0,0,3,7,1210,0,47.4375,-122.184,1640,14910,9,61,61,0,0,-430,0.22448452062447477,0,8470,0.0,335000.0
3,2.5,2340,10005,1.0,0,0,4,8,1460,880,47.4431,-122.133,2250,8162,4,37,37,0,1,90,0.25737602840979684,0,18720,0.37606837606837606,335000.0
3,1.0,1670,4005,1.5,0,0,4,7,1170,500,47.6878,-122.38,1240,4005,5,76,76,0,1,430,0.0946201352778579,0,11690,0.2994011976047904,544000.0
2,1.75,1240,2493,1.0,0,0,4,8,1240,0,47.3813,-122.322,1270,4966,7,30,30,0,0,-30,0.22512667545184206,0,9920,0.0,265000.0
4,2.5,3140,28037,2.0,0,0,4,10,3140,0,47.7304,-122.082,2990,35001,3,24,24,0,0,150,0.27924120397964575,1,31400,0.0,652475.0
5,1.75,2030,12342,2.0,0,0,4,7,2030,0,47.6417,-122.109,2500,9433,8,73,73,0,0,-470,0.2259067506738144,0,14210,0.0,615000.0
4,2.5,2310,9624,2.0,0,0,3,8,2310,0,47.5386,-122.053,1940,9636,7,31,31,0,0,370,0.2871699322700753,0,18480,0.0,570500.0
3,1.75,1260,3328,1.0,0,0,5,6,700,560,47.6823,-122.349,1380,3536,3,110,110,0,1,-120,0.07795396077172559,0,7560,0.4444444444444444,550000.0
3,1.75,1540,12600,1.0,0,0,4,7,1160,380,47.3624,-122.031,1540,11656,9,35,35,0,1,0,0.38742696085842393,0,10780,0.24675324675324675,342000.0
3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,47.5474,-122.295,2090,5500,11,44,44,0,1,-10,0.06952589445666563,0,14560,0.4807692307692308,342500.0
4,2.5,3230,16171,2.0,0,3,3,9,2520,710,47.3183,-122.253,2640,8517,10,14,14,0,1,590,0.298568618578711,0,29070,0.21981424148606812,260000.0
3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,47.6981,-122.368,1830,6350,11,115,16,0,1,2550,0.09866316435224962,0,35040,0.365296803652968,544000.0
3,3.5,1590,1102,3.0,0,0,3,8,1590,0,47.6824,-122.347,1620,3166,6,5,5,0,0,-30,0.07764309370446237,0,12720,0.0,550000.0
2,1.0,880,6780,1.0,0,0,4,6,880,0,47.5009,-122.248,1190,6780,6,70,70,0,0,-310,0.13476238347550346,0,5280,0.0,278277.0
4,2.0,1570,9600,1.0,0,0,3,6,1570,0,47.4965,-122.303,1880,9000,1,65,65,0,0,-310,0.11349405270762336,0,9420,0.0,235000.0
4,1.0,1610,2982,1.5,0,0,4,7,1610,0,47.587,-122.294,1610,4040,5,90,90,0,0,0,0.042664387959982744,0,11270,0.0,450000.0
3,2.5,2400,6474,1.0,0,2,3,8,1560,840,47.7728,-122.386,2340,10856,1,51,51,0,1,60,0.1751021701750105,0,19200,0.35,554000.0
3,2.0,1450,9132,1.0,0,0,3,7,1450,0,47.7288,-122.226,1580,9104,11,28,28,0,0,-130,0.1621356530809901,0,10150,0.0,445950.0
2,1.0,770,6000,1.0,0,0,3,6,770,0,47.6999,-122.364,1710,6000,4,62,62,0,0,-940,0.09898131136734933,0,4620,0.0,544000.0
4,1.75,2100,4400,1.5,0,0,5,7,1720,380,47.5299,-122.266,1850,4400,11,91,91,0,1,250,0.10094998761762879,0,14700,0.18095238095238095,367500.0
3,2.25,2910,10204,2.0,0,0,3,9,2910,0,47.6897,-122.098,2700,13992,6,25,25,0,0,210,0.24854589113481473,0,26190,0.0,615000.0
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,47.6141,-122.212,3060,11275,3,101,23,0,1,-310,0.12035954469836808,0,22000,0.28,1150000.0
3,2.25,2100,8201,1.0,0,2,3,8,1620,480,47.5091,-122.244,2660,8712,7,48,48,0,1,-560,0.13111071657191262,0,16800,0.22857142857142856,278277.0
4,2.25,2160,8811,1.0,0,0,3,8,1360,800,47.3129,-122.39,2090,8400,7,37,37,0,1,70,0.298960365266036,0,17280,0.37037037037037035,268450.0
5,3.5,2320,4960,2.0,0,0,5,7,1720,600,47.6763,-122.352,1700,4960,6,89,89,0,1,620,0.07286988403997761,0,16240,0.25862068965517243,550000.0
4,2.5,2070,4310,2.0,0,0,3,7,2070,0,47.5319,-121.85,1970,3748,4,11,11,0,0,100,0.4877918613507227,0,14490,0.0,502500.0
3,1.75,1060,7875,1.0,0,0,4,7,1060,0,47.2761,-122.152,1420,7680,1,29,29,0,0,-360,0.37603459947190976,0,7420,0.0,309780.0
4,2.25,2010,9603,1.0,0,0,3,8,1440,570,47.5343,-122.054,2060,9793,4,29,29,0,1,-50,0.28724418183837436,0,16080,0.2835820895522388,570500.0
3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,47.697,-122.072,2480,88500,6,26,26,0,1,1470,0.2754934663472026,0,35550,0.37721518987341773,615000.0
3,2.5,2010,2287,2.0,0,0,3,8,1390,620,47.5517,-121.998,1690,1662,5,1,1,0,1,320,0.33851596712709925,0,16080,0.30845771144278605,575000.0
4,3.5,2140,2278,3.0,0,0,3,9,2140,0,47.6734,-122.38,1540,2285,1,10,10,0,0,600,0.08252423886349887,0,19260,0.0,529950.0
3,1.75,1320,17390,1.0,0,0,4,7,1320,0,47.3257,-122.296,1550,19265,8,59,59,0,0,-230,0.28281347209777913,0,9240,0.0,267475.0
4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,47.3309,-122.299,1750,8140,8,47,47,0,1,270,0.2772827077190356,0,14140,0.5,267475.0
4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,47.7689,-122.266,1550,10436,5,47,47,0,1,1040,0.17561463492545035,0,20720,0.4826254826254826,445000.0
2,1.0,1190,4440,1.0,0,0,3,6,1190,0,47.7135,-122.287,1060,5715,7,34,34,0,0,130,0.11639286919738527,0,7140,0.0,425000.0
3,2.25,1170,1249,3.0,0,0,3,8,1170,0,47.6722,-122.381,1350,1310,5,1,1,0,0,-180,0.08214140247158988,0,9360,0.0,529950.0
2,1.0,1110,3200,1.0,0,0,3,7,1110,0,47.6338,-122.358,1170,3600,6,90,90,0,0,-60,0.03784930646657015,0,7770,0.0,744975.0
5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,47.5707,-122.128,2820,9375,7,47,47,0,1,0,0.20716433090664677,0,22560,0.450354609929078,760184.5
3,1.0,1610,8579,1.0,0,0,4,7,1010,600,47.4563,-122.171,1610,8579,5,53,53,0,1,0,0.22005276639932897,0,11270,0.37267080745341613,335000.0
3,1.0,1060,8097,1.0,0,0,4,7,940,120,47.7144,-122.351,1560,7940,4,92,92,0,1,-500,0.10983829022703935,0,7420,0.11320754716981132,375000.0
4,2.25,2030,8517,1.0,0,0,4,8,1380,650,47.5495,-122.174,2230,8824,2,54,54,0,1,-200,0.16795981662289605,0,16240,0.32019704433497537,760184.5
4,2.5,3670,315374,2.0,0,0,4,9,3670,0,47.7421,-122.026,2840,87991,12,21,21,0,0,830,0.3349119585801622,0,33030,0.0,652475.0
4,1.0,2550,4000,2.0,0,0,3,8,2370,180,47.6354,-122.353,2200,4000,6,110,110,0,1,350,0.03590891254270526,0,20400,0.07058823529411765,736000.0
2,2.5,2420,60984,2.0,0,0,3,7,2420,0,47.5262,-121.943,1940,193842,8,8,8,0,0,480,0.39723898348475195,0,16940,0.0,570500.0
5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,47.3887,-122.286,1360,18000,10,55,55,0,1,900,0.22233186906064567,0,18080,0.5,249000.0
3,1.0,1430,3455,1.0,0,0,3,7,980,450,47.6873,-122.336,1450,4599,11,68,68,0,1,-20,0.08119371896889498,0,10010,0.3146853146853147,550000.0
3,2.0,1360,3090,2.0,0,0,3,8,1360,0,47.6838,-122.353,1500,3090,8,25,25,0,0,-140,0.08036522879952122,0,10880,0.0,550000.0
3,1.0,1110,5000,1.5,0,0,3,7,1110,0,47.655,-122.359,1420,5000,4,68,68,0,0,-310,0.055722975512797875,0,7770,0.0,529950.0
3,1.0,1250,8200,1.0,0,0,4,7,1250,0,47.3255,-122.304,1680,8633,3,61,61,0,0,-430,0.28210299537580497,0,8750,0.0,267475.0
4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,47.562,-122.162,3160,9750,4,9,9,0,1,2020,0.17574882645411088,1,62160,0.3166023166023166,760184.5
1,1.0,700,5100,1.0,0,0,3,7,700,0,47.678999999999995,-122.3,1010,5100,5,73,73,0,0,-310,0.07956286822380826,0,4900,0.0,567000.0
3,1.0,1180,7669,1.0,0,0,4,7,1180,0,47.4479,-122.176,1190,7669,7,48,48,0,0,-10,0.2223198146814623,0,8260,0.0,335000.0
5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,47.525,-122.172,2640,13675,11,19,19,0,1,1320,0.17951448409529633,0,35640,0.3686868686868687,380000.0
4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,47.3135,-122.369,1980,7875,8,48,48,0,1,660,0.2950167791838326,0,21120,0.38636363636363635,268450.0
3,2.0,1270,7198,1.5,0,0,3,7,1270,0,47.2086,-121.996,1160,7198,11,99,2,1,0,110,0.5206236356524784,0,8890,0.0,279500.0
4,1.75,1760,11180,1.0,0,0,4,8,1760,0,47.4715,-122.118,1730,11180,10,47,47,0,0,30,0.2529484137131551,0,14080,0.0,435000.0
5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,47.4877,-122.335,1010,11680,5,53,53,0,1,1050,0.11853547992057503,0,14420,0.5,305000.0
3,1.75,1780,9660,1.0,0,0,3,7,1780,0,47.7171,-122.193,1200,9660,3,53,53,0,0,580,0.17789777963763334,0,12460,0.0,445950.0
3,2.5,3400,16603,2.0,0,0,3,10,3400,0,47.6012,-122.023,3400,12601,3,15,15,0,0,0,0.309140437341996,1,34000,0.0,739999.0
3,2.75,1910,7280,1.0,0,0,3,7,1160,750,47.7319,-122.224,1710,8152,6,36,36,0,1,200,0.16578932414362216,0,13370,0.39267015706806285,445950.0
3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,47.4582,-122.023,2110,36590,8,40,40,0,1,-90,0.3427051356487111,0,14140,0.5,570500.0
3,1.75,1580,7000,1.0,0,0,3,7,1180,400,47.7209,-122.168,1640,7500,12,39,39,0,1,-60,0.20021213749420066,0,11060,0.25316455696202533,445950.0
